"ID","Gender","Status","Children","Est Income","Car Owner","Age","LongDistance","International","Local","DroppedPeak","DroppedOffPeak","Paymethod","LocalBilltype","LongDistanceBilltype","Usage","RatePlan","CHURN"
"42","F","M","2","5237.63","N","48.753333","13.32","8.05","56.64","1","0","CC","Budget","Standard","78.02","2","F"
"45","M","S","2","89459.90","N","53.28","11.54","1.61","22.90","3","0","CC","FreeLocal","Standard","36.05","2","T"
"48","F","S","1","13576.50","N","39.426667","14.83","0.00","25.66","2","0","CC","Budget","Standard","40.49","1","T"
"52","F","M","2","67388.00","N","53.12","4.79","0.50","91.04","5","1","CC","Budget","Standard","96.33","3","T"
"53","F","M","1","57063.00","Y","52.333333","16.79","0.00","81.30","0","0","CH","Budget","Standard","98.10","4","F"
"54","F","M","2","84166.10","N","54.013333","3.28","0.00","11.74","0","1","CC","Budget","Standard","15.02","2","T"
"60","F","S","1","7737.94","N","42.666667","11.05","0.00","50.84","0","0","CC","FreeLocal","Standard","61.90","4","T"
"61","M","S","2","100020.00","N","50.00","21.37","0.00","293.24","2","0","CH","Budget","Standard","314.62","4","T"
"62","F","M","2","45287.60","Y","29.026667","0","0.00","2.97","6","0","CC","Budget","Standard","2.97","3","F"
"63","F","M","2","59613.10","N","34.32","12.37","0.00","163.41","1","0","CC","Budget","Intnl_discount","175.78","1","T"
"65","F","S","1","16326.70","N","50.613333","0","0.00","1.34","1","0","CC","FreeLocal","Intnl_discount","1.34","1","T"
"68","F","S","2","9559.78","N","51.38","18.31","0.00","59.59","1","0","CC","FreeLocal","Standard","77.91","3","T"
"71","F","M","2","42031.80","N","50.753333","20.45","0.00","39.33","2","0","CH","Budget","Intnl_discount","59.78","4","F"
"73","F","M","2","83284.10","Y","28.42","26.91","0.00","9.04","1","0","Auto","FreeLocal","Intnl_discount","35.96","4","F"
"74","M","M","1","39229.10","N","26.26","28.82","4.74","13.53","1","0","CC","Budget","Intnl_discount","47.10","4","F"
"75","F","S","0","68427.40","N","42.393333","23.76","0.00","50.05","8","0","Auto","FreeLocal","Standard","73.81","3","F"
"77","M","S","0","3601.71","N","49.266667","9.57","4.19","111.84","1","0","Auto","Budget","Intnl_discount","125.60","4","T"
"78","F","M","0","72642.60","N","27.646667","18.66","0.00","20.34","2","0","CH","FreeLocal","Intnl_discount","39.00","4","F"
"79","F","S","0","98716.30","N","55.66","20.97","8.23","13.92","1","0","CC","FreeLocal","Standard","43.13","4","T"
"80","F","S","2","66182.70","Y","62.48","11.7","0.00","47.17","0","0","Auto","Budget","Standard","58.87","2","F"
"81","F","M","2","84789.30","N","50.433333","14.22","8.80","10.45","0","0","CH","FreeLocal","Standard","33.47","4","T"
"83","F","M","2","35976.50","Y","48.853333","18.85","0.00","31.78","0","0","Auto","FreeLocal","Intnl_discount","50.63","4","T"
"84","F","M","0","32703.10","Y","64.92","16.8","0.00","56.09","0","0","CC","Budget","Intnl_discount","72.89","4","F"
"85","F","M","1","77129.10","Y","61.846667","24.77","0.00","20.07","0","0","CH","FreeLocal","Intnl_discount","44.85","4","F"
"86","F","M","2","8204.72","N","52.973333","15.59","0.00","24.19","0","0","CH","FreeLocal","Standard","39.79","3","F"
"87","M","M","1","97180.40","N","50.60","8.21","9.63","45.66","0","0","CC","FreeLocal","Standard","63.51","4","T"
"88","F","M","0","80405.10","N","60.226667","2.91","8.95","17.11","0","0","CC","FreeLocal","Standard","28.98","4","F"
"89","F","S","2","38280.00","N","33.74","11.64","0.00","74.97","0","0","Auto","FreeLocal","Intnl_discount","86.61","4","T"
"90","M","S","0","64136.60","Y","61.106667","16.21","1.00","125.15","0","0","CC","FreeLocal","Intnl_discount","142.37","2","T"
"92","F","M","2","45429.70","Y","61.713333","24.7","0.00","73.04","0","0","CH","FreeLocal","Standard","97.74","2","T"
"94","F","S","0","25285.50","N","53.986667","9.37","0.00","11.93","0","0","CC","FreeLocal","Standard","21.30","1","T"
"95","F","M","2","77551.10","Y","33.60","20.53","0.00","41.89","1","1","CC","Budget","Intnl_discount","62.42","2","F"
"96","F","M","0","38538.40","N","12.326667","22.86","8.32","16.48","0","0","CC","FreeLocal","Standard","47.66","3","T"
"97","F","S","0","69350.50","Y","57.42","1.9","0.00","25.95","0","0","CC","FreeLocal","Standard","27.86","4","F"
"104","M","S","2","43634.50","N","21.78","29.44","9.42","104.64","0","0","CC","Budget","Standard","143.50","1","T"
"108","F","S","1","13109.10","N","62.606667","22.38","0.00","40.48","0","0","Auto","Budget","Standard","62.87","1","T"
"109","M","S","1","92647.50","N","56.046667","16.04","5.74","10.34","0","0","CC","Budget","Standard","32.13","4","T"
"110","F","S","2","21021.60","Y","62.753333","1","0.00","11.19","0","0","CC","Budget","Standard","14.95","3","T"
"111","M","S","0","74460.70","Y","55.34","25.53","0.99","179.93","0","0","CC","FreeLocal","Standard","206.46","2","T"
"114","F","S","2","28787.40","N","41.666667","27.97","0.00","58.09","0","0","Auto","Budget","Standard","86.06","2","T"
"117","M","M","1","13091.60","N","59.126667","22.79","0.00","20.26","0","0","CC","Budget","Intnl_discount","43.06","2","F"
"120","F","M","2","62061.80","Y","45.92","29.86","0.00","52.22","0","0","Auto","FreeLocal","Standard","82.08","2","F"
"121","F","M","1","20550.90","Y","22.12","27.72","0.86","57.06","0","0","CC","Budget","Standard","85.64","3","T"
"124","M","M","2","1765.41","N","18.766667","3.04","0.00","44.95","1","0","CC","FreeLocal","Standard","47.99","4","F"
"127","F","S","2","19131.10","N","56.186667","22.15","0.00","34.91","1","0","Auto","Budget","Standard","57.07","2","T"
"130","F","S","2","83073.70","N","39.553333","0","0.00","3.20","8","0","CC","Budget","Standard","3.20","4","F"
"133","M","M","2","42750.30","Y","50.493333","20.59","1.97","112.40","1","0","Auto","Budget","Intnl_discount","134.97","1","F"
"135","F","S","2","2842.55","N","45.92","0","0.00","0.79","2","0","Auto","Budget","Intnl_discount",,"2","T"
"136","M","M","2","22358.10","N","52.626667","15.54","1.52","12.19","1","0","CC","Budget","Standard","29.25","1","F"
"138","M","M","0","47870.80","Y","27.26","2","1.17","12.48","0","0","CC","FreeLocal","Standard","13.82","2","F"
"139","F","S","2","6440.46","Y","52.646667","22.66","0.00","27.20","0","0","CH","Budget","Standard","49.86","1","F"
"140","F","S","0","7325.50","N","36.92","28.52","0.00","161.54","0","0","CC","FreeLocal","Intnl_discount","190.06","2","T"
"142","M","M","2","28766.90","N","46.84","6.11","0.00","58.08","0","0","CC","Budget","Standard","64.20","1","F"
"148","M","M","2","91272.20","Y","25.033333","26.99","0.00","13.01","0","0","CC","FreeLocal","Standard","40.00","3","F"
"154","M","S","0","65000.00","Y","45.653333","11.63","9.70","115.66","0","1","Auto","FreeLocal","Intnl_discount","137.00","4","T"
"158","M","M","2","1406.05","Y","19.306667","11.55","0.00","15.17","0","0","CC","Budget","Standard","26.72","1","F"
"160","F","S","0","73228.30","N","62.00","22.47","0.00","28.11","0","0","Auto","Budget","Standard","50.58","4","F"
"161","F","S","2","76231.90","N","63.806667","2.01","0.00","150.75","0","0","Auto","FreeLocal","Standard","152.76","2","F"
"166","M","M","1","64792.30","N","52.146667","13.05","1.51","36.84","0","0","CH","FreeLocal","Standard","51.41","3","T"
"169","F","S","0","93322.10","Y","40.313333","29.92","0.00","8.79","0","0","CH","Budget","Intnl_discount","38.72","1","T"
"174","M","M","1","63437.30","N","63.653333","0.68","3.35","10.94","3","0","CC","Budget","Intnl_discount","14.98","4","T"
"178","M","M","2","49910.70","Y","51.52","27.42","0.00","23.72","2","0","CC","Budget","Standard","51.14","3","F"
"180","M","M","0","76161.40","Y","44.573333","11.96","0.00","25.58","5","0","CC","FreeLocal","Standard","37.55","4","T"
"181","F","M","2","55860.00","Y","14.573333","16.01","0.00","10.35","0","0","CC","FreeLocal","Intnl_discount","26.37","3","F"
"182","F","S","1","12686.00","N","64.80","23.23","0.00","80.64","0","0","Auto","Budget","Standard","103.88","2","T"
"190","M","M","2","57360.80","Y","53.253333","10.36","0.00","57.25","0","0","CC","FreeLocal","Standard","67.61","1","F"
"191","M","M","0","92414.70","Y","45.513333","29.43","0.00","10.62","2","0","CC","FreeLocal","Standard","40.06","4","T"
"192","M","M","1","60102.70","N","42.14","9.84","0.00","62.44","6","1","CH","FreeLocal","Standard","72.29","3","T"
"194","F","M","2","17888.70","N","55.00","29.41","0.00","332.46","1","0","CC","Budget","Standard","361.88","1","F"
"195","F","S","1","12526.30","N","53.553333","11.72","0.00","28.86","1","0","CC","FreeLocal","Intnl_discount","40.59","2","T"
"198","F","S","2","14578.80","Y","60.933333","11.91","0.00","95.10","1","0","Auto","Budget","Standard","107.02","1","T"
"201","M","M","0","78572.20","Y","42.346667","21.81","0.00","29.28","2","1","CC","FreeLocal","Standard","51.09","4","T"
"203","F","M","2","48238.80","N","34.706667","23.28","0.00","168.03","1","0","CC","FreeLocal","Standard","191.32","4","F"
"205","F","M","0","28770.90","N","12.34","27.99","5.32","16.27","1","0","CH","FreeLocal","Standard","49.60","4","F"
"206","F","M","2","87578.20","Y","53.366667","0.29","0.00","22.15","8","0","CC","Budget","Standard","22.44","1","F"
"207","F","M","2","86695.40","N","13.906667","25.94","0.00","32.09","1","0","CC","FreeLocal","Standard","58.03","2","F"
"209","F","S","2","76791.20","N","61.00","20.71","0.00","23.00","2","0","CC","Budget","Intnl_discount","43.71","4","F"
"213","F","D","0","30763.80","Y","14.193333","21.32","0.00","35.85","1","0","CC","Budget","Standard","57.17","4","T"
"214","F","M","2","3193.60","N","54.046667","4.19","0.00","114.62","3","1","CH","Budget","Standard","118.82","3","F"
"215","M","M","1","69680.90","N","15.846667","7.67","0.00","32.12","2","0","CC","FreeLocal","Intnl_discount","39.80","2","F"
"218","F","M","0","83287.00","N","45.486667","29.64","0.00","90.18","5","4","Auto","FreeLocal","Intnl_discount","119.82","3","F"
"219","M","S","0","2056.06","Y","18.94","24.07","6.98","27.75","0","0","Auto","Budget","Standard","58.80","2","T"
"220","F","M","2","7776.60","N","35.706667","25.87","0.00","68.33","0","0","CC","FreeLocal","Standard","94.20","4","F"
"221","M","M","1","2067.82","N","47.853333","15.25","0.00","70.65","0","0","CC","Budget","Intnl_discount","85.90","4","F"
"222","M","S","0","66666.00","N","52.00","4.58","7.66","8.49","2","0","CH","Budget","Standard","20.74","1","T"
"224","F","M","2","69343.30","N","42.166667","6.36","0.00","15.54","6","0","CC","FreeLocal","Standard","21.91","2","F"
"225","F","M","0","77000.00","N","55.00","0.57","0.00","23.89","1","2","Auto","Budget","Standard","24.46","4","F"
"228","F","M","0","14932.50","N","52.00","4.91","0.00","6.50","1","0","CC","Budget","Intnl_discount","11.42","1","F"
"229","F","S","0","27498.10","N","42.00","2.2","0.00","9.88","1","0","CC","Budget","Intnl_discount","12.08","4","F"
"231","F","M","2","21419.90","N","59.833333","26.39","0.00","103.12","2","0","CC","FreeLocal","Standard","129.51","1","F"
"232","F","M","2","30665.20","Y","22.88","5.83","8.32","63.28","1","0","Auto","FreeLocal","Standard","77.44","3","F"
"233","F","M","1","66000.00","Y","63.353333","6.08","0.00","30.95","1","0","Auto","FreeLocal","Intnl_discount","37.04","2","F"
"234","F","M","2","50561.30","N","52.00","16.6","0.00","113.31","8","1","CH","Budget","Standard","129.91","2","F"
"236","F","S","2","23464.00","Y","70.00","22.43","0.00","41.71","1","0","CC","Budget","Intnl_discount","64.14","3","T"
"237","F","M","2","194.57","N","42.00","28.26","0.00","38.95","2","0","CC","FreeLocal","Standard","67.21","4","F"
"238","F","M","1","98680.40","Y","55.00","17.58","0.00","8.85","1","0","CH","FreeLocal","Intnl_discount","26.44","4","F"
"239","M","M","1","65619.70","Y","46.00","13.56","0.00","144.66","0","0","CC","Budget","Standard","158.22","3","T"
"240","F","M","1","95620.30","Y","52.00","10.91","0.00","93.61","0","0","CC","Budget","Standard","104.53","2","F"
"241","F","S","0","85275.00","N","47.00","22.48","0.00","151.61","0","0","Auto","FreeLocal","Intnl_discount","174.09","2","F"
"242","F","M","1","66921.40","Y","43.00","15.7","0.00","8.97","0","0","CC","FreeLocal","Intnl_discount","24.67","3","F"
"243","F","M","1","98453.60","Y","46.00","13.72","0.00","11.65","0","0","Auto","FreeLocal","Standard","25.38","3","F"
"244","F","M","2","94026.80","Y","27.746667","25","0.00","10.62","0","0","CC","FreeLocal","Intnl_discount","35.63","3","F"
"246","F","S","2","57420.00","Y","61.00","25.18","0.00","252.53","0","1","Auto","Budget","Standard","277.72","2","F"
"247","M","M","0","77000.00","N","44.00","3.93","3.73","26.69","0","1","CH","FreeLocal","Standard","34.35","4","T"
"249","M","M","2","47639.10","N","48.00","17.48","0.00","39.62","0","0","CC","Budget","Intnl_discount","57.11","4","F"
"250","F","M","2","63234.50","Y","52.36","0","0.00","1.16","0","0","CH","FreeLocal","Intnl_discount","1.16","3","F"
"254","F","M","2","18296.40","Y","42.626667","0.08","0.00","10.39","0","0","CC","FreeLocal","Standard","10.47","3","F"
"255","F","S","0","39461.00","N","22.226667","22.87","0.28","103.52","0","1","CC","FreeLocal","Standard","126.68","4","T"
"257","F","S","1","68000.00","N","60.00","22.82","0.00","63.29","1","0","Auto","FreeLocal","Standard","86.12","3","F"
"260","F","M","2","52957.00","Y","39.746667","25.79","0.00","125.52","0","2","CH","FreeLocal","Standard","151.32","2","F"
"261","F","S","2","86747.10","N","64.853333","20.15","0.00","37.24","0","0","Auto","Budget","Standard","57.40","3","F"
"263","F","M","1","87404.60","N","63.186667","21.63","0.00","139.20","0","0","Auto","Budget","Standard","160.84","3","F"
"264","M","S","2","20919.00","N","27.886667","6.26","4.92","153.36","0","0","CC","FreeLocal","Intnl_discount","164.54","2","F"
"265","F","M","2","85394.00","Y","20.16","19.28","2.02","14.38","0","1","Auto","Budget","Intnl_discount","35.69","4","F"
"266","F","S","0","2121.36","N","39.786667","2.02","0.00","36.78","0","1","CC","FreeLocal","Standard","38.80","3","T"
"267","F","M","2","63566.10","Y","56.30","7.94","0.00","65.09","0","0","CH","Budget","Intnl_discount","73.03","2","F"
"270","F","S","0","89813.60","N","12.846667","14.94","1.96","149.26","0","0","CC","FreeLocal","Intnl_discount","166.18","4","F"
"272","F","M","2","82644.20","Y","33.493333","21.97","0.00","19.88","0","0","CC","FreeLocal","Intnl_discount","41.85","4","F"
"273","F","S","1","27783.60","N","14.04","4.97","6.53","18.07","0","0","CC","FreeLocal","Standard","29.58","3","T"
"276","F","M","2","60485.50","N","41.666667","11.7","0.00","28.70","0","0","Auto","Budget","Intnl_discount","40.41","1","F"
"279","F","M","2","809.43","Y","31.913333","0","0.00","2.89","1","0","CH","FreeLocal","Intnl_discount","2.89","1","F"
"280","M","S","1","76529.80","N","58.28","18.46","5.36","20.05","1","0","CC","Budget","Standard","43.89","1","T"
"281","F","M","2","34577.70","N","63.253333","29.18","0.00","116.57","8","3","CH","Budget","Standard","145.75","2","F"
"283","F","M","0","80000.00","N","48.00","27.56","0.00","45.46","1","0","Auto","Budget","Standard","73.02","3","F"
"284","F","S","2","19008.40","Y","52.166667","10.54","0.00","137.19","2","0","CC","FreeLocal","Standard","147.74","4","T"
"285","F","M","0","98056.30","N","55.966667","23.7","0.00","126.96","1","0","Auto","FreeLocal","Standard","150.67","3","F"
"286","M","M","0","73400.00","Y","64.226667","0","0.00","2.21","0","0","CH","Budget","Standard","2.21","4","T"
"288","M","M","0","78894.20","N","28.00","2","1.41","43.23","0","0","CH","Budget","Intnl_discount","46.65","2","F"
"289","M","S","1","16432.10","Y","20.92","20.41","8.89","80.47","0","0","CH","Budget","Intnl_discount","109.78","1","T"
"290","M","M","0","62797.90","N","54.446667","8.32","4.28","55.48","0","0","CH","Budget","Intnl_discount","68.09","1","T"
"291","M","S","1","71329.90","Y","42.233333","14.27","3.55","45.92","0","0","CC","Budget","Standard","63.75","3","T"
"295","F","S","0","20913.60","N","53.013333","22.99","7.16","65.77","0","0","CC","FreeLocal","Standard","95.93","4","T"
"298","F","S","1","540.40","Y","39.213333","12.34","0.00","7.75","0","0","Auto","Budget","Intnl_discount","20.10","4","T"
"302","M","M","2","67339.80","N","17.006667","27.83","5.19","48.69","0","0","CC","FreeLocal","Intnl_discount","81.72","2","F"
"304","M","M","1","75799.90","N","46.38","22.24","7.02","64.80","0","0","CC","FreeLocal","Intnl_discount","94.06","3","T"
"305","F","S","2","15688.50","N","53.06","14.39","0.00","8.03","0","0","CC","Budget","Standard","22.42","4","T"
"306","F","S","0","43382.30","N","16.073333","29.67","8.76","99.94","0","0","CH","FreeLocal","Standard","138.37","2","T"
"308","F","S","0","5185.31","N","62.053333","16.39","5.99","30.51","0","0","CC","FreeLocal","Intnl_discount","52.90","2","T"
"309","F","S","0","41000.00","N","16.06","26.01","0.00","108.44","0","0","CC","Budget","Standard","134.45","4","T"
"310","F","S","0","32098.00","N","22.433333","22.96","8.28","75.27","2","0","CH","Budget","Intnl_discount","106.53","2","T"
"312","F","M","2","80087.70","N","41.92","8.74","0.00","22.82","6","0","CC","FreeLocal","Standard","31.56","4","F"
"313","F","M","2","59691.30","N","38.04","21.94","0.00","256.70","1","0","CC","Budget","Standard","278.65","2","F"
"315","F","S","2","11251.10","Y","61.00","28.42","0.00","113.48","1","0","CC","FreeLocal","Standard","141.91","2","T"
"317","M","M","0","70908.70","N","49.62","7.7","4.55","43.20","1","0","CC","FreeLocal","Standard","55.47","4","T"
"318","M","S","0","94928.30","N","40.18","14.42","5.61","73.74","2","0","CH","FreeLocal","Standard","93.78","4","T"
"320","F","M","2","50622.30","N","40.46","20.45","2.07","90.19","1","0","Auto","FreeLocal","Standard","112.72","2","F"
"322","M","M","0","78000.00","Y","52.266667","16.2","4.27","18.84","1","0","CC","FreeLocal","Intnl_discount","39.32","3","T"
"326","M","M","0","100020.00","Y","52.266667","29.55","0.00","62.81","8","0","CH","Budget","Standard","92.37","4","T"
"329","F","M","1","56722.80","N","60.593333","17.37","6.21","51.17","1","0","CC","FreeLocal","Standard","74.77","2","F"
"331","M","M","1","80000.00","N","53.213333","0","0.00","3.22","2","0","CC","Budget","Intnl_discount","3.22","3","T"
"332","F","S","2","3416.62","Y","22.76","18.97","0.00","104.73","1","0","CC","Budget","Standard","123.70","4","T"
"333","F","M","0","73400.00","Y","55.633333","0.17","0.00","10.22","0","0","Auto","Budget","Standard","10.39","2","F"
"334","M","M","0","120000.00","Y","53.213333","15.27","0.00","25.62","0","0","CC","FreeLocal","Standard","40.90","4","T"
"335","F","M","2","8032.16","N","45.666667","29.68","0.00","59.08","0","0","CC","FreeLocal","Standard","88.77","2","F"
"336","F","S","1","93454.30","Y","48.533333","18.94","0.00","25.18","0","0","Auto","FreeLocal","Standard","44.13","4","F"
"337","M","M","0","5745.00","Y","15.38","26.4","0.00","17.71","0","0","CC","FreeLocal","Standard","44.11","1","T"
"338","F","S","0","83287.00","N","77.00","0.41","7.35","208.19","0","0","Auto","Budget","Standard","215.96","4","F"
"339","F","S","0","92564.10","Y","49.133333","23.17","0.00","51.68","0","0","Auto","FreeLocal","Standard","74.86","3","F"
"341","M","S","0","86448.20","Y","38.133333","4.91","3.14","82.19","0","0","CC","Budget","Intnl_discount","90.25","2","F"
"343","F","M","2","48322.50","Y","49.333333","6.69","0.00","43.60","0","0","CC","FreeLocal","Standard","50.29","1","F"
"346","F","M","2","81913.80","Y","49.66","6.7","0.00","46.33","0","0","CC","FreeLocal","Standard","53.03","1","F"
"349","F","S","0","919.93","N","38.26","27.28","0.00","93.42","0","0","CH","Budget","Standard","120.71","3","T"
"350","F","M","2","69486.80","N","30.946667","7.72","0.00","9.39","0","1","CC","Budget","Standard","17.11","1","F"
"351","F","M","2","24482.80","N","33.533333","0","0.00","2.00","1","0","CH","Budget","Intnl_discount","2.00","4","F"
"353","F","M","0","14573.60","N","64.606667","26.61","0.00","236.97","0","0","CC","Budget","Standard","263.58","4","F"
"354","F","M","2","92103.80","N","52.153333","7.42","0.00","7.43","0","0","CC","Budget","Standard","14.86","3","F"
"355","F","S","2","8392.14","Y","36.68","25.03","7.33","54.80","0","0","CH","Budget","Intnl_discount","87.16","3","T"
"356","F","S","0","17138.20","N","63.786667","20.01","0.00","84.67","0","0","CC","FreeLocal","Intnl_discount","104.69","3","T"
"358","F","M","2","47010.10","N","57.406667","2.54","0.00","164.76","0","0","CC","Budget","Intnl_discount","167.31","1","F"
"360","F","S","1","67239.40","N","44.433333","12.89","0.00","53.81","0","0","Auto","FreeLocal","Intnl_discount","66.70","2","F"
"361","M","M","1","69406.70","Y","30.00","6.9","7.21","128.10","0","1","CC","FreeLocal","Standard","142.23","2","F"
"363","F","M","2","83259.30","N","50.88","0","0.00","4.46","0","0","CC","Budget","Standard","4.46","4","F"
"365","M","S","2","60095.20","Y","23.313333","1.71","0.00","116.14","0","0","Auto","Budget","Standard","117.85","2","F"
"370","F","M","2","2185.60","N","52.513333","7.12","0.00","20.95","0","1","CH","Budget","Standard","28.07","1","F"
"372","M","M","1","76511.30","N","62.08","21.68","3.46","17.37","0","0","CC","FreeLocal","Standard","42.52","2","T"
"374","F","M","1","6946.07","N","23.00","25.77","0.00","8.84","1","0","CH","FreeLocal","Standard","34.61","2","T"
"375","F","M","2","11234.70","Y","49.046667","0.69","0.00","112.72","1","0","CC","Budget","Standard","113.42","3","F"
"377","F","M","2","36660.90","Y","39.96","0","0.00","3.36","8","1","CH","Budget","Intnl_discount","3.36","1","F"
"379","F","M","2","68462.80","N","34.40","24.39","5.93","60.51","1","0","CC","FreeLocal","Standard","90.84","2","F"
"382","F","M","2","72841.30","N","47.02","10.36","0.00","72.16","2","0","CC","Budget","Standard","82.53","1","F"
"383","F","M","2","63670.80","Y","46.146667","27.39","0.00","51.47","1","0","Auto","FreeLocal","Standard","78.87","2","F"
"384","M","S","0","83287.00","N","45.486667","29.73","5.24","35.73","0","0","CC","Budget","Standard","70.70","2","T"
"385","F","S","1","66000.00","Y","45.486667","20.44","0.00","100.08","0","0","Auto","Budget","Standard","120.53","1","F"
"386","M","M","0","12387.60","N","56.173333","7","0.00","65.93","0","0","Auto","FreeLocal","Standard","93.85","2","F"
"388","F","M","1","82931.30","N","64.64","19.24","0.00","118.00","0","0","Auto","FreeLocal","Standard","137.25","2","F"
"389","F","M","2","57483.90","N","44.026667","17.01","0.00","27.29","0","0","CH","Budget","Standard","44.30","2","F"
"391","F","S","2","21274.00","N","45.526667","10.87","0.00","32.43","0","0","Auto","FreeLocal","Standard","43.31","2","T"
"392","F","M","2","28267.00","N","30.093333","21.87","0.00","192.53","0","0","CC","FreeLocal","Standard","214.41","2","F"
"394","F","M","2","36725.10","N","55.793333","8.65","9.22","77.00","0","0","CH","Budget","Standard","94.88","2","F"
"398","M","S","1","94188.30","N","57.546667","20.86","0.86","19.78","0","0","CC","Budget","Standard","41.51","2","T"
"401","F","M","2","91861.00","Y","41.98","15.32","0.00","6.74","0","0","CC","Budget","Standard","22.06","3","F"
"404","F","S","1","12374.90","Y","33.493333","17.49","0.00","106.10","0","0","Auto","FreeLocal","Standard","123.59","3","T"
"405","F","M","2","69133.90","Y","26.833333","8.58","0.00","37.73","3","0","CH","FreeLocal","Standard","46.32","2","F"
"407","F","M","2","84948.00","Y","29.446667","11.14","0.00","12.58","2","0","CH","FreeLocal","Intnl_discount","23.73","3","F"
"408","F","M","2","30998.80","N","40.96","2.4","0.00","50.50","5","0","Auto","Budget","Standard","52.91","2","F"
"410","M","S","0","15924.20","N","14.46","0","0.00","1.46","0","0","CH","FreeLocal","Standard","1.46","2","F"
"414","M","M","2","21416.50","N","35.653333","9.9","9.17","8.53","0","0","CC","FreeLocal","Intnl_discount","27.61","1","F"
"418","M","M","2","78554.20","N","16.70","5.59","7.26","23.03","0","0","Auto","Budget","Standard","35.88","3","F"
"419","M","S","1","3960.50","N","14.693333","29.78","0.00","66.35","2","0","Auto","FreeLocal","Standard","96.13","2","T"
"421","M","M","0","60101.10","Y","63.766667","27.7","6.11","124.14","6","2","CH","FreeLocal","Standard","157.96","4","T"
"422","F","M","2","38215.90","N","30.886667","0","0.00","0.97","1","0","Auto","Budget","Standard","0.97","2","F"
"423","F","M","1","13829.40","N","22.00","28","0.00","160.42","1","0","CC","FreeLocal","Standard","176.61","1","T"
"424","F","M","2","49745.30","N","47.966667","2.84","0.00","24.44","1","0","CH","Budget","Intnl_discount","27.28","3","F"
"426","F","M","2","88427.00","N","13.86","22.46","4.16","43.34","2","0","CC","Budget","Standard","69.97","3","F"
"427","F","M","2","98003.70","Y","26.273333","1.03","0.00","83.39","1","0","CC","FreeLocal","Intnl_discount","84.42","1","F"
"428","M","S","0","89142.70","N","33.00","3.76","8.13","5.01","1","0","CC","Budget","Intnl_discount","16.91","2","F"
"429","F","S","0","74530.80","N","63.086667","20.89","0.49","106.50","8","0","Auto","FreeLocal","Intnl_discount","127.89","2","F"
"431","F","S","0","35000.00","N","23.00","30","0.00","262.91","1","0","CC","Budget","Standard","265.78","3","T"
"436","F","M","2","76289.20","N","48.206667","22.2","0.00","82.43","2","0","CC","Budget","Intnl_discount","104.63","2","F"
"438","M","M","1","66931.90","N","63.933333","11.72","0.39","5.35","1","0","CC","Budget","Standard","17.46","4","T"
"439","F","D","1","9309.57","Y","24.00","40","0.00","99.73","3","0","CC","FreeLocal","Standard","108.30","2","T"
"440","F","M","1","14085.50","N","23.00","26","0.00","26.78","2","0","Auto","FreeLocal","Intnl_discount","48.08","1","T"
"441","F","S","0","32962.60","N","19.00","27","0.00","154.77","5","0","CC","Budget","Intnl_discount","168.28","2","T"
"442","F","S","0","40000.00","N","20.00","26","0.00","61.44","0","0","CC","Budget","Standard","65.79","2","T"
