ID,Sex,Region,Children,Est_Income,Car_Owner,Status,Paymethod,LocalBilltype,Customer_Segments,Trips_To_The_Website_Yr,Avg_Spend_Per_Store_Visit,Customer_Loyality_Code,Number_Of_Transactions_Current_Year,Response,Age_BIN
48,F,2,1,13576.5,N,S,CC,Budget,High Income Families,8,25.66,1,7,Responded,3
52,F,3,2,67388,N,M,CC,Budget,High Income Families,19,91.04,3,2,Did Not Respond,4
53,F,2,1,57063,Y,M,CH,Budget,Low Value and No Kids,20,81.3,4,8,Did Not Respond,4
54,F,3,2,84166.1,N,M,CC,Budget,High Income Families,3,11.74,2,2,Responded,4
60,F,2,1,7737.94,N,S,CC,FreeLocal,High Income Families,12,50.84,4,6,Responded,3
61,M,3,2,100020,N,S,CH,Budget,Low Value and No Kids,63,293.24,4,11,Did Not Respond,3
62,F,3,2,45287.6,Y,M,CC,Budget,High Income Families,1,2.97,3,0,Did Not Respond,2
63,F,3,2,59613.1,N,M,CC,Budget,High Income Families,35,163.41,1,6,Did Not Respond,2
65,F,2,1,16326.7,N,S,CC,FreeLocal,High Income Families,0,1.34,1,0,Responded,3
68,F,3,2,9559.78,N,S,CC,FreeLocal,High Income Families,16,59.59,3,9,Responded,4
71,F,3,2,42031.8,N,M,CH,Budget,Low Value and No Kids,12,39.33,4,10,Did Not Respond,3
73,F,3,2,83284.1,Y,M,Auto,FreeLocal,Married No Kids,7,9.04,4,13,Did Not Respond,2
74,M,2,1,39229.1,N,M,CC,Budget,High Income Families,9,13.53,4,14,Did Not Respond,2
75,F,1,0,68427.4,N,S,Auto,FreeLocal,Married No Kids,15,50.05,3,12,Did Not Respond,3
77,M,1,0,3601.71,N,S,Auto,Budget,Married No Kids,25,111.84,4,5,Responded,3
78,F,1,0,72642.6,N,M,CH,FreeLocal,Low Value and No Kids,8,20.34,4,9,Did Not Respond,2
79,F,1,0,98716.3,N,S,CC,FreeLocal,High Income Families,9,13.92,4,10,Responded,4
80,F,3,2,66182.7,Y,S,Auto,Budget,Married No Kids,12,47.17,2,6,Did Not Respond,4
81,F,3,2,84789.3,N,M,CH,FreeLocal,Low Value and No Kids,7,10.45,4,7,Did Not Respond,3
83,F,3,2,35976.5,Y,M,Auto,FreeLocal,Married No Kids,10,31.78,4,9,Did Not Respond,3
84,F,1,0,32703.1,Y,M,CC,Budget,High Income Families,15,56.09,4,8,Did Not Respond,5
85,F,2,1,77129.1,Y,M,CH,FreeLocal,Low Value and No Kids,9,20.07,4,12,Did Not Respond,4
86,F,3,2,8204.72,N,M,CH,FreeLocal,Low Value and No Kids,8,24.19,3,8,Did Not Respond,4
87,M,2,1,97180.4,N,M,CC,FreeLocal,High Income Families,13,45.66,4,4,Responded,3
88,F,1,0,80405.1,N,M,CC,FreeLocal,High Income Families,6,17.11,4,1,Did Not Respond,4
89,F,3,2,38280,N,S,Auto,FreeLocal,Married No Kids,17,74.97,4,6,Responded,2
90,M,1,0,64136.6,Y,S,CC,FreeLocal,High Income Families,28,125.15,2,8,Did Not Respond,4
92,F,3,2,45429.7,Y,M,CH,FreeLocal,Low Value and No Kids,20,73.04,2,12,Responded,4
94,F,1,0,25285.5,N,S,CC,FreeLocal,High Income Families,4,11.93,1,5,Responded,4
95,F,3,2,77551.1,Y,M,CC,Budget,High Income Families,12,41.89,2,10,Did Not Respond,2
96,F,1,0,38538.4,N,M,CC,FreeLocal,High Income Families,10,16.48,3,11,Responded,1
97,F,1,0,69350.5,Y,S,CC,FreeLocal,High Income Families,6,25.95,4,1,Did Not Respond,4
104,M,3,2,43634.5,N,S,CC,Budget,High Income Families,29,104.64,1,15,Responded,1
108,F,2,1,13109.1,N,S,Auto,Budget,Married No Kids,13,40.48,1,11,Responded,4
109,M,2,1,92647.5,N,S,CC,Budget,High Income Families,6,10.34,4,8,Responded,4
110,F,3,2,21021.6,Y,S,CC,Budget,High Income Families,3,11.19,3,1,Did Not Respond,4
111,M,1,0,74460.7,Y,S,CC,FreeLocal,High Income Families,41,179.93,2,13,Responded,4
114,F,3,2,28787.4,N,S,Auto,Budget,Married No Kids,17,58.09,2,14,Did Not Respond,3
117,M,2,1,13091.6,N,M,CC,Budget,High Income Families,9,20.26,2,11,Did Not Respond,4
120,F,3,2,62061.8,Y,M,Auto,FreeLocal,Married No Kids,16,52.22,2,15,Did Not Respond,3
121,F,2,1,20550.9,Y,M,CC,Budget,High Income Families,17,57.06,3,14,Responded,1
124,M,3,2,1765.41,N,M,CC,FreeLocal,High Income Families,10,44.95,4,2,Did Not Respond,1
127,F,3,2,19131.1,N,S,Auto,Budget,Married No Kids,11,34.91,2,11,Did Not Respond,4
130,F,3,2,83073.7,N,S,CC,Budget,High Income Families,1,3.2,4,0,Did Not Respond,3
133,M,3,2,42750.3,Y,M,Auto,Budget,Married No Kids,27,112.4,1,10,Did Not Respond,3
135,F,3,2,2842.55,N,S,Auto,Budget,Married No Kids,0,0.79,2,0,Did Not Respond,3
136,M,3,2,22358.1,N,M,CC,Budget,High Income Families,6,12.19,1,8,Did Not Respond,4
138,M,1,0,47870.8,Y,M,CC,FreeLocal,High Income Families,3,12.48,2,1,Did Not Respond,2
139,F,3,2,6440.46,Y,S,CH,Budget,Low Value and No Kids,10,27.2,1,11,Did Not Respond,4
140,F,1,0,7325.5,N,S,CC,FreeLocal,High Income Families,38,161.54,2,14,Responded,2
142,M,3,2,28766.9,N,M,CC,Budget,High Income Families,13,58.08,1,3,Did Not Respond,3
148,M,3,2,91272.2,Y,M,CC,FreeLocal,High Income Families,8,13.01,3,13,Did Not Respond,1
154,M,1,0,65000,Y,S,Auto,FreeLocal,Married No Kids,27,115.66,4,6,Responded,3
158,M,3,2,1406.05,Y,M,CC,Budget,High Income Families,5,15.17,1,6,Did Not Respond,1
160,F,1,0,73228.3,N,S,Auto,Budget,Married No Kids,10,28.11,4,11,Did Not Respond,4
161,F,3,2,76231.9,N,S,Auto,FreeLocal,Married No Kids,31,150.75,2,1,Responded,4
166,M,2,1,64792.3,N,M,CH,FreeLocal,Low Value and No Kids,10,36.84,3,7,Responded,4
169,F,1,0,93322.1,Y,S,CH,Budget,Low Value and No Kids,8,8.79,1,15,Responded,3
174,M,2,1,63437.3,N,M,CC,Budget,High Income Families,3,10.94,4,0,Responded,4
178,M,3,2,49910.7,Y,M,CC,Budget,High Income Families,10,23.72,3,14,Did Not Respond,4
180,M,1,0,76161.4,Y,M,CC,FreeLocal,High Income Families,8,25.58,4,6,Responded,3
181,F,3,2,55860,Y,M,CC,FreeLocal,High Income Families,5,10.35,3,8,Did Not Respond,1
182,F,2,1,12686,N,S,Auto,Budget,Married No Kids,21,80.64,2,12,Responded,5
190,M,3,2,57360.8,Y,M,CC,FreeLocal,High Income Families,14,57.25,1,5,Did Not Respond,4
191,M,1,0,92414.7,Y,M,CC,FreeLocal,High Income Families,8,10.62,4,15,Responded,3
192,M,2,1,60102.7,N,M,CH,FreeLocal,Low Value and No Kids,14,62.44,3,5,Responded,3
194,F,3,2,17888.7,N,M,CC,Budget,High Income Families,72,332.46,1,15,Did Not Respond,4
195,F,2,1,12526.3,N,S,CC,FreeLocal,High Income Families,8,28.86,2,6,Responded,4
198,F,3,2,14578.8,Y,S,Auto,Budget,Married No Kids,21,95.1,1,6,Did Not Respond,4
201,M,1,0,78572.2,Y,M,CC,FreeLocal,High Income Families,10,29.28,4,11,Did Not Respond,3
203,F,3,2,48238.8,N,M,CC,FreeLocal,High Income Families,38,168.03,4,12,Did Not Respond,2
205,F,1,0,28770.9,N,M,CH,FreeLocal,Low Value and No Kids,10,16.27,4,14,Responded,1
206,F,3,2,87578.2,Y,M,CC,Budget,High Income Families,4,22.15,1,0,Did Not Respond,4
207,F,3,2,86695.4,N,M,CC,FreeLocal,High Income Families,12,32.09,2,13,Did Not Respond,1
209,F,3,2,76791.2,N,S,CC,Budget,High Income Families,9,23,4,10,Did Not Respond,4
213,F,1,0,30763.8,Y,D,CC,Budget,High Income Families,11,35.85,4,11,Responded,1
214,F,3,2,3193.6,N,M,CH,Budget,Low Value and No Kids,24,114.62,3,2,Did Not Respond,4
215,M,2,1,69680.9,N,M,CC,FreeLocal,High Income Families,8,32.12,2,4,Did Not Respond,1
218,F,1,0,83287,N,M,Auto,FreeLocal,Married No Kids,24,90.18,3,15,Did Not Respond,3
219,M,1,0,2056.06,Y,S,Auto,Budget,Married No Kids,12,27.75,2,12,Responded,1
220,F,3,2,7776.6,N,M,CC,FreeLocal,High Income Families,19,68.33,4,13,Did Not Respond,2
221,M,2,1,2067.82,N,M,CC,Budget,High Income Families,17,70.65,4,8,Did Not Respond,3
222,M,1,0,66666,N,S,CH,Budget,Low Value and No Kids,4,8.49,1,2,Responded,4
224,F,3,2,69343.3,N,M,CC,FreeLocal,High Income Families,4,15.54,2,3,Did Not Respond,3
225,F,1,0,77000,N,M,Auto,Budget,Married No Kids,5,23.89,4,0,Did Not Respond,4
228,F,1,0,14932.5,N,M,CC,Budget,High Income Families,2,6.5,1,2,Did Not Respond,4
229,F,1,0,27498.1,N,S,CC,Budget,High Income Families,2,9.88,4,1,Did Not Respond,3
231,F,3,2,21419.9,N,M,CC,FreeLocal,High Income Families,26,103.12,1,13,Did Not Respond,4
232,F,3,2,30665.2,Y,M,Auto,FreeLocal,Married No Kids,15,63.28,3,3,Did Not Respond,1
233,F,2,1,66000,Y,M,Auto,FreeLocal,Married No Kids,7,30.95,2,3,Did Not Respond,4
234,F,3,2,50561.3,N,M,CH,Budget,Low Value and No Kids,26,113.31,2,8,Did Not Respond,4
236,F,3,2,23464,Y,S,CC,Budget,High Income Families,13,41.71,3,11,Did Not Respond,5
237,F,3,2,194.57,N,M,CC,FreeLocal,High Income Families,13,38.95,4,14,Did Not Respond,3
238,F,2,1,98680.4,Y,M,CH,FreeLocal,Low Value and No Kids,5,8.85,4,9,Did Not Respond,4
239,M,2,1,65619.7,Y,M,CC,Budget,High Income Families,32,144.66,3,7,Did Not Respond,3
240,F,2,1,95620.3,Y,M,CC,Budget,High Income Families,21,93.61,2,5,Did Not Respond,4
241,F,1,0,85275,N,S,Auto,FreeLocal,Married No Kids,35,151.61,2,11,Did Not Respond,3
242,F,2,1,66921.4,Y,M,CC,FreeLocal,High Income Families,5,8.97,3,8,Did Not Respond,3
243,F,2,1,98453.6,Y,M,Auto,FreeLocal,Married No Kids,5,11.65,3,7,Did Not Respond,3
244,F,3,2,94026.8,Y,M,CC,FreeLocal,High Income Families,7,10.62,3,13,Did Not Respond,2
246,F,3,2,57420,Y,S,Auto,Budget,Married No Kids,56,252.53,2,13,Did Not Respond,4
247,M,1,0,77000,N,M,CH,FreeLocal,Low Value and No Kids,7,26.69,4,2,Did Not Respond,3
249,M,3,2,47639.1,N,M,CC,Budget,High Income Families,11,39.62,4,9,Did Not Respond,3
250,F,3,2,63234.5,Y,M,CH,FreeLocal,Low Value and No Kids,0,1.16,3,0,Did Not Respond,4
254,F,3,2,18296.4,Y,M,CC,FreeLocal,High Income Families,2,10.39,3,0,Did Not Respond,3
255,F,1,0,39461,N,S,CC,FreeLocal,High Income Families,25,103.52,4,11,Did Not Respond,1
257,F,2,1,68000,N,S,Auto,FreeLocal,Married No Kids,17,63.29,3,11,Did Not Respond,4
260,F,3,2,52957,Y,M,CH,FreeLocal,Low Value and No Kids,30,125.52,2,13,Did Not Respond,3
261,F,3,2,86747.1,N,S,Auto,Budget,Married No Kids,11,37.24,3,10,Did Not Respond,5
263,F,2,1,87404.6,N,M,Auto,Budget,Married No Kids,32,139.2,3,11,Did Not Respond,4
264,M,3,2,20919,N,S,CC,FreeLocal,High Income Families,33,153.36,2,3,Did Not Respond,2
265,F,3,2,85394,Y,M,Auto,Budget,Married No Kids,7,14.38,4,10,Did Not Respond,1
266,F,1,0,2121.36,N,S,CC,FreeLocal,High Income Families,8,36.78,3,1,Responded,3
267,F,3,2,63566.1,Y,M,CH,Budget,Low Value and No Kids,15,65.09,2,4,Did Not Respond,4
270,F,1,0,89813.6,N,S,CC,FreeLocal,High Income Families,33,149.26,4,7,Did Not Respond,1
271,F,3,2,25738.4,N,M,CH,Budget,Low Value and No Kids,10,19.2,1,10,Did Not Respond,3
272,F,3,2,82644.2,Y,M,CC,FreeLocal,High Income Families,8,19.88,4,11,Did Not Respond,2
273,F,2,1,27783.6,N,S,CC,FreeLocal,High Income Families,6,18.07,3,2,Responded,1
276,F,3,2,60485.5,N,M,Auto,Budget,Married No Kids,8,28.7,1,6,Did Not Respond,3
279,F,3,2,809.43,Y,M,CH,FreeLocal,Low Value and No Kids,1,2.89,1,0,Did Not Respond,2
280,M,2,1,76529.8,N,S,CC,Budget,High Income Families,9,20.05,1,9,Responded,4
281,F,3,2,34577.7,N,M,CH,Budget,Low Value and No Kids,29,116.57,2,15,Did Not Respond,4
283,F,1,0,80000,N,M,Auto,Budget,Married No Kids,15,45.46,3,14,Did Not Respond,3
284,F,3,2,19008.4,Y,S,CC,FreeLocal,High Income Families,30,137.19,4,5,Did Not Respond,4
285,F,1,0,98056.3,N,M,Auto,FreeLocal,Married No Kids,30,126.96,3,12,Did Not Respond,4
286,M,1,0,73400,Y,M,CH,Budget,Low Value and No Kids,0,2.21,4,0,Responded,5
288,M,1,0,78894.2,N,M,CH,Budget,Low Value and No Kids,9,43.23,2,1,Did Not Respond,2
289,M,2,1,16432.1,Y,S,CH,Budget,Low Value and No Kids,22,80.47,1,10,Responded,1
290,M,1,0,62797.9,N,M,CH,Budget,Low Value and No Kids,14,55.48,1,4,Responded,4
291,M,2,1,71329.9,Y,S,CC,Budget,High Income Families,13,45.92,3,7,Responded,3
295,F,1,0,20913.6,N,S,CC,FreeLocal,High Income Families,19,65.77,4,11,Responded,4
298,F,2,1,540.4,Y,S,Auto,Budget,Married No Kids,4,7.75,4,6,Responded,3
302,M,3,2,67339.8,N,M,CC,FreeLocal,High Income Families,16,48.69,2,14,Did Not Respond,1
304,M,2,1,75799.9,N,M,CC,FreeLocal,High Income Families,19,64.8,3,11,Responded,3
305,F,3,2,15688.5,N,S,CC,Budget,High Income Families,4,8.03,4,7,Responded,4
306,F,1,0,43382.3,N,S,CH,FreeLocal,Low Value and No Kids,28,99.94,2,15,Responded,1
308,F,1,0,5185.31,N,S,CC,FreeLocal,High Income Families,11,30.51,2,8,Responded,4
309,F,1,0,41000,N,S,CC,Budget,High Income Families,27,108.44,4,13,Responded,1
310,F,1,0,32098,N,S,CH,Budget,Low Value and No Kids,21,75.27,2,11,Responded,1
312,F,3,2,80087.7,N,M,CC,FreeLocal,High Income Families,6,22.82,4,4,Did Not Respond,3
313,F,3,2,59691.3,N,M,CC,Budget,High Income Families,56,256.7,2,11,Did Not Respond,2
315,F,3,2,11251.1,Y,S,CC,FreeLocal,High Income Families,28,113.48,2,14,Did Not Respond,4
317,M,1,0,70908.7,N,M,CC,FreeLocal,High Income Families,11,43.2,4,4,Responded,3
318,M,1,0,94928.3,N,S,CH,FreeLocal,Low Value and No Kids,19,73.74,4,7,Responded,3
320,F,3,2,50622.3,N,M,Auto,FreeLocal,Married No Kids,23,90.19,2,10,Did Not Respond,3
322,M,1,0,78000,Y,M,CC,FreeLocal,High Income Families,8,18.84,3,8,Responded,4
326,M,1,0,100020,Y,M,CH,Budget,Low Value and No Kids,18,62.81,4,15,Responded,4
329,F,2,1,56722.8,N,M,CC,FreeLocal,High Income Families,15,51.17,2,9,Did Not Respond,4
331,M,2,1,80000,N,M,CC,Budget,High Income Families,1,3.22,3,0,Responded,4
332,F,3,2,3416.62,Y,S,CC,Budget,High Income Families,25,104.73,4,9,Did Not Respond,1
333,F,1,0,73400,Y,M,Auto,Budget,Married No Kids,2,10.22,2,0,Did Not Respond,4
334,M,1,0,120000,Y,M,CC,FreeLocal,High Income Families,8,25.62,4,8,Responded,4
335,F,3,2,8032.16,N,M,CC,FreeLocal,High Income Families,18,59.08,2,15,Did Not Respond,3
336,F,2,1,93454.3,Y,S,Auto,FreeLocal,Married No Kids,9,25.18,4,9,Did Not Respond,3
337,M,1,0,5745,Y,M,CC,FreeLocal,High Income Families,9,17.71,1,13,Responded,1
338,F,1,0,83287,N,S,Auto,Budget,Married No Kids,43,208.19,4,0,Did Not Respond,5
339,F,1,0,92564.1,Y,S,Auto,FreeLocal,Married No Kids,15,51.68,3,12,Did Not Respond,3
341,M,1,0,86448.2,Y,S,CC,Budget,High Income Families,18,82.19,2,2,Responded,2
343,F,3,2,48322.5,Y,M,CC,FreeLocal,High Income Families,10,43.6,1,3,Did Not Respond,3
346,F,3,2,81913.8,Y,M,CC,FreeLocal,High Income Families,11,46.33,1,3,Did Not Respond,3
349,F,1,0,919.93,N,S,CH,Budget,Low Value and No Kids,24,93.42,3,14,Responded,3
350,F,3,2,69486.8,N,M,CC,Budget,High Income Families,3,9.39,1,4,Did Not Respond,2
351,F,3,2,24482.8,N,M,CH,Budget,Low Value and No Kids,0,2,4,0,Did Not Respond,2
353,F,1,0,14573.6,N,M,CC,Budget,High Income Families,53,236.97,4,13,Did Not Respond,5
354,F,3,2,92103.8,N,M,CC,Budget,High Income Families,3,7.43,3,4,Did Not Respond,4
355,F,3,2,8392.14,Y,S,CH,Budget,Low Value and No Kids,17,54.8,3,13,Did Not Respond,2
356,F,1,0,17138.2,N,S,CC,FreeLocal,High Income Families,21,84.67,3,10,Responded,4
358,F,3,2,47010.1,N,M,CC,Budget,High Income Families,33,164.76,1,1,Did Not Respond,4
360,F,2,1,67239.4,N,S,Auto,FreeLocal,Married No Kids,13,53.81,2,6,Did Not Respond,3
361,M,2,1,69406.7,Y,M,CC,FreeLocal,High Income Families,28,128.1,2,3,Did Not Respond,2
363,F,3,2,83259.3,N,M,CC,Budget,High Income Families,1,4.46,4,0,Did Not Respond,3
365,M,3,2,60095.2,Y,S,Auto,Budget,Married No Kids,24,116.14,2,1,Did Not Respond,1
370,F,3,2,2185.6,N,M,CH,Budget,Low Value and No Kids,6,20.95,1,4,Did Not Respond,4
372,M,2,1,76511.3,N,M,CC,FreeLocal,High Income Families,9,17.37,2,11,Responded,4
374,F,2,1,6946.07,N,M,CH,FreeLocal,Low Value and No Kids,7,8.84,2,13,Responded,1
375,F,3,2,11234.7,Y,M,CC,Budget,High Income Families,23,112.72,3,0,Did Not Respond,3
377,F,3,2,36660.9,Y,M,CH,Budget,Low Value and No Kids,1,3.36,1,0,Responded,3
379,F,3,2,68462.8,N,M,CC,FreeLocal,High Income Families,18,60.51,2,12,Did Not Respond,2
382,F,3,2,72841.3,N,M,CC,Budget,High Income Families,17,72.16,1,5,Did Not Respond,3
383,F,3,2,63670.8,Y,M,Auto,FreeLocal,Married No Kids,16,51.47,2,14,Did Not Respond,3
384,M,1,0,83287,N,S,CC,Budget,High Income Families,14,35.73,2,15,Responded,3
385,F,2,1,66000,Y,S,Auto,Budget,Married No Kids,24,100.08,1,10,Did Not Respond,3
386,M,1,0,12387.6,N,M,Auto,FreeLocal,Married No Kids,19,65.93,2,4,Did Not Respond,4
388,F,2,1,82931.3,N,M,Auto,FreeLocal,Married No Kids,27,118,2,10,Responded,5
389,F,3,2,57483.9,N,M,CH,Budget,Low Value and No Kids,9,27.29,2,9,Did Not Respond,3
391,F,3,2,21274,N,S,Auto,FreeLocal,Married No Kids,9,32.43,2,5,Responded,3
392,F,3,2,28267,N,M,CC,FreeLocal,High Income Families,43,192.53,2,11,Did Not Respond,2
394,F,3,2,36725.1,N,M,CH,Budget,Low Value and No Kids,19,77,2,4,Did Not Respond,4
398,M,2,1,94188.3,N,S,CC,Budget,High Income Families,8,19.78,2,10,Responded,4
401,F,3,2,91861,Y,M,CC,Budget,High Income Families,4,6.74,3,8,Did Not Respond,3
404,F,2,1,12374.9,Y,S,Auto,FreeLocal,Married No Kids,25,106.1,3,9,Responded,2
405,F,3,2,69133.9,Y,M,CH,FreeLocal,Low Value and No Kids,9,37.73,2,4,Did Not Respond,2
407,F,3,2,84948,Y,M,CH,FreeLocal,Low Value and No Kids,5,12.58,3,6,Did Not Respond,2
408,F,3,2,30998.8,N,M,Auto,Budget,Married No Kids,11,50.5,2,1,Responded,3
410,M,1,0,15924.2,N,S,CH,FreeLocal,Low Value and No Kids,0,1.46,2,0,Did Not Respond,1
414,M,3,2,21416.5,N,M,CC,FreeLocal,High Income Families,6,8.53,1,5,Did Not Respond,2
418,M,3,2,78554.2,N,M,Auto,Budget,Married No Kids,7,23.03,3,3,Did Not Respond,1
419,M,2,1,3960.5,N,S,Auto,FreeLocal,Married No Kids,19,66.35,2,15,Responded,1
421,M,1,0,60101.1,Y,M,CH,FreeLocal,Low Value and No Kids,32,124.14,4,14,Responded,4
422,F,3,2,38215.9,N,M,Auto,Budget,Married No Kids,0,0.97,2,0,Did Not Respond,2
423,F,2,1,13829.4,N,M,CC,FreeLocal,High Income Families,35,160.42,1,14,Responded,1
424,F,3,2,49745.3,N,M,CH,Budget,Low Value and No Kids,5,24.44,3,1,Did Not Respond,3
426,F,3,2,88427,N,M,CC,Budget,High Income Families,14,43.34,3,11,Did Not Respond,1
427,F,3,2,98003.7,Y,M,CC,FreeLocal,High Income Families,17,83.39,1,1,Did Not Respond,2
428,M,1,0,89142.7,N,S,CC,Budget,High Income Families,3,5.01,2,2,Did Not Respond,2
429,F,1,0,74530.8,N,S,Auto,FreeLocal,Married No Kids,26,106.5,2,10,Did Not Respond,4
431,F,1,0,35000,N,S,CC,Budget,High Income Families,53,262.91,3,15,Responded,1
436,F,3,2,76289.2,N,M,CC,Budget,High Income Families,21,82.43,2,11,Did Not Respond,3
438,M,2,1,66931.9,N,M,CC,Budget,High Income Families,3,5.35,4,6,Responded,4
439,F,2,1,9309.57,Y,D,CC,FreeLocal,High Income Families,22,99.73,2,20,Responded,1
440,F,2,1,14085.5,N,M,Auto,FreeLocal,Married No Kids,10,26.78,1,13,Responded,1
441,F,1,0,32962.6,N,S,CC,Budget,High Income Families,34,154.77,2,14,Responded,1
442,F,1,0,40000,N,S,CC,Budget,High Income Families,13,61.44,2,13,Did Not Respond,1
443,F,3,2,33330,N,S,Auto,Budget,Married No Kids,8,35.73,3,17,Did Not Respond,1
444,F,2,1,32098,N,S,Auto,Budget,Married No Kids,5,9.51,1,17,Responded,1
445,F,3,2,30090,N,S,CC,FreeLocal,High Income Families,13,38.18,1,19,Responded,1
446,F,2,1,40120,N,S,CC,Budget,High Income Families,27,106.3,4,14,Responded,1
450,F,3,2,90271.6,N,M,CC,FreeLocal,High Income Families,22,96.43,4,7,Responded,3
455,F,3,2,64816.6,Y,M,CC,Budget,High Income Families,6,6.87,2,11,Did Not Respond,2
456,F,3,2,98217.1,N,M,CC,FreeLocal,High Income Families,9,13.24,1,15,Did Not Respond,3
458,F,2,1,2929.13,N,S,CH,Budget,Low Value and No Kids,20,88.23,1,7,Responded,4
460,F,3,2,41876.6,Y,M,CC,FreeLocal,High Income Families,28,132.65,3,3,Did Not Respond,3
461,M,1,0,96223.4,Y,M,CC,FreeLocal,High Income Families,4,5.73,1,6,Responded,5
462,F,1,0,15989.3,N,S,CC,Budget,High Income Families,6,25.49,4,2,Responded,4
463,M,1,0,69168.4,Y,M,CC,Budget,High Income Families,47,214.73,2,7,Responded,4
464,M,2,1,92148.5,Y,M,CC,Budget,High Income Families,23,100.9,2,2,Responded,2
465,M,1,0,96681,Y,M,CC,Budget,High Income Families,15,40.92,2,4,Did Not Respond,1
466,M,1,0,62705.9,Y,S,CC,FreeLocal,High Income Families,7,6.81,2,4,Did Not Respond,2
467,M,1,0,80221.2,N,S,Auto,FreeLocal,Married No Kids,10,49.56,2,5,Did Not Respond,2
468,M,1,0,84479.2,N,S,CC,FreeLocal,High Income Families,11,43.01,2,4,Did Not Respond,2
469,F,3,2,64977.4,N,M,CC,FreeLocal,High Income Families,9,17.66,2,14,Did Not Respond,2
470,F,1,0,77994,N,M,CH,FreeLocal,Low Value and No Kids,20,89.62,1,6,Did Not Respond,3
471,M,3,2,90103.7,N,M,CC,Budget,High Income Families,13,45.34,3,6,Did Not Respond,2
472,F,1,0,59008.4,Y,M,CC,Budget,High Income Families,6,18.73,1,6,Responded,2
473,M,3,2,5265.35,N,M,Auto,Budget,Married No Kids,6,23.46,3,1,Did Not Respond,4
474,M,2,1,84978.1,N,S,CH,FreeLocal,Low Value and No Kids,18,76.07,1,3,Responded,1
475,F,3,2,36647.9,N,M,CC,Budget,High Income Families,21,85.96,3,11,Responded,3
476,F,1,0,64319.2,N,S,CH,Budget,Low Value and No Kids,8,37.15,1,2,Responded,3
477,F,2,1,73338,N,S,Auto,Budget,Married No Kids,6,9.01,3,10,Did Not Respond,3
478,F,1,0,433.74,N,S,CC,FreeLocal,High Income Families,9,40.91,1,2,Responded,4
479,F,3,2,16962.2,N,M,CC,Budget,High Income Families,6,8.96,2,9,Did Not Respond,3
481,M,3,2,10708.3,N,M,CH,Budget,Low Value and No Kids,29,117.26,3,10,Did Not Respond,2
484,F,1,0,2031.61,N,M,CC,Budget,High Income Families,22,87.4,2,11,Responded,1
488,F,3,2,16938.5,N,S,CH,FreeLocal,Low Value and No Kids,4,8.76,2,7,Did Not Respond,4
491,F,1,0,55221,N,M,CC,FreeLocal,High Income Families,3,15.2,3,0,Did Not Respond,3
492,F,2,1,8073.11,N,M,Auto,FreeLocal,Married No Kids,18,60.35,2,14,Did Not Respond,3
493,M,2,1,95448.6,Y,M,CH,Budget,Low Value and No Kids,6,5.21,3,12,Did Not Respond,4
494,M,2,1,24141.5,Y,S,CC,FreeLocal,High Income Families,25,97.05,4,14,Responded,1
495,M,3,2,63152.6,Y,S,CC,Budget,High Income Families,14,40.07,1,15,Did Not Respond,4
