"ID","Income","AppliedOnline","Residence","Yrs at Current Address","Yrs with Current Employer","Number of Cards","Creditcard Debt","Loans","Loan Amount","SalePrice","Location","MortgageDefault"
"100350.00","52973.00","NO","Public Housing","13.00","3.00","1.00","2535.00","0.00","9365.00","420000","111","YES"
"100352.00","52961.00","YES","Public Housing","17.00","4.00","1.00","1853.00","1.00","11950.00","125000","130","YES"
"100353.00","43908.00","NO","Public Housing","18.00","15.00","1.00","4242.00","0.00","7915.00","190000","100","NO"
"100354.00","57718.00","YES","Owner Occupier","25.00","16.00","2.00","1555.00","1.00","6285.00","155000","130","YES"
"100360.00","44052.00","YES","Owner Occupier","13.00","5.00","2.00","375.00","0.00","9305.00","235000","100","YES"
"100361.00","44613.00","NO","Public Housing","17.00","11.00","2.00","2134.00","0.00","4215.00","500000","130","YES"
"100363.00","44193.00","YES","Public Housing","18.00","3.00","1.00","260.00","0.00","6605.00","284500","120","NO"
"100365.00","45115.00","YES","Private Renting","11.00","13.00","2.00","5189.00","1.00","16935.00","164000","101","NO"
"100367.00","43645.00","YES","Owner Occupier","5.00","13.00","2.00","502.00","0.00","4600.00","875000","100","NO"
"100368.00","43474.00","YES","Living with parents/guardian","17.00","1.00","1.00","270.00","1.00","5315.00","125000","100","NO"
"100369.00","43322.00","YES","Private Renting","15.00","6.00","2.00","218.00","1.00","6940.00","325000","100","NO"
"100373.00","49678.00","YES","Owner Occupier","11.00","8.00","2.00","564.00","0.00","7195.00","275000","100","NO"
"100374.00","56849.00","YES","Owner Occupier","4.00","4.00","1.00","117.00","1.00","5725.00","117000","100","NO"
"100375.00","50808.00","NO","Private Renting","19.00","18.00","2.00","457.00","0.00","7775.00","125000","101","YES"
"100376.00","58505.00","YES","Owner Occupier","11.00","9.00","2.00","668.00","0.00","5370.00","150000","100","NO"
"100377.00","51945.00","NO","Public Housing","19.00","0.00","1.00","25.00","1.00","7480.00","290000","110","YES"
"100378.00","49075.00","NO","Owner Occupier","7.00","16.00","2.00","133.00","0.00","4900.00","149900","101","YES"
"100379.00","56087.00","YES","Private Renting","14.00","16.00","2.00","1386.00","1.00","9100.00","273500","120","NO"
"100381.00","53115.00","YES","Owner Occupier","12.00","1.00","2.00","674.00","0.00","10455.00","309534","110","YES"
"100382.00","49008.00","YES","Private Renting","10.00","16.00","2.00","216.00","0.00","10910.00","145000","130","NO"
"100383.00","54013.00","YES","Private Renting","9.00","4.00","1.00","996.00","0.00","11105.00","156000","100","NO"
"100384.00","53195.00","NO","Owner Occupier","8.00","31.00","2.00","7757.00","1.00","13645.00","600000","100","NO"
"100385.00","52896.00","YES","Owner Occupier","19.00","6.00","2.00","1655.00","1.00","8975.00","260000","110","YES"
"100386.00","54603.00","NO","Owner Occupier","8.00","30.00","2.00","1562.00","1.00","7760.00","150000","100","NO"
"100388.00","48511.00","NO","Owner Occupier","21.00","25.00","1.00","793.00","0.00","9550.00","260000","120","NO"
"100389.00","59036.00","YES","Owner Occupier","7.00","6.00","1.00","495.00","1.00","8915.00","193000","101","YES"
"100390.00","53559.00","YES","Owner Occupier","7.00","19.00","2.00","2646.00","0.00","10105.00","537500","100","NO"
"100394.00","44997.00","NO","Public Housing","6.00","18.00","1.00","1238.00","1.00","8070.00","176000","100","NO"
"100396.00","44442.00","YES","Private Renting","12.00","16.00","1.00","578.00","0.00","7600.00","300000","100","YES"
"100398.00","44187.00","YES","Owner Occupier","19.00","3.00","1.00","693.00","0.00","9310.00","185000","100","NO"
"100399.00","44617.00","NO","Owner Occupier","4.00","10.00","2.00","154.00","1.00","925.00","275000","100","YES"
"100402.00","44684.00","YES","Owner Occupier","6.00","9.00","1.00","194.00","1.00","3965.00","1290000","110","NO"
"100403.00","44831.00","YES","Owner Occupier","15.00","2.00","1.00","1597.00","1.00","8790.00","161000","100","YES"
"100405.00","43482.00","YES","Owner Occupier","4.00","1.00","1.00","361.00","1.00","8375.00","499250","100","NO"
"100407.00","43989.00","YES","Owner Occupier","8.00","10.00","1.00","30.00","1.00","5805.00","410000","101","NO"
"100409.00","43957.00","NO","Public Housing","18.00","13.00","2.00","286.00","1.00","7810.00","350000","110","NO"
"100411.00","47833.00","YES","Owner Occupier","9.00","6.00","1.00","854.00","0.00","12920.00","200000","130","NO"
"100412.00","56891.00","NO","Owner Occupier","26.00","1.00","1.00","1543.00","1.00","5545.00","570000","100","NO"
"100414.00","58026.00","YES","Living with parents/guardian","17.00","13.00","1.00","6156.00","0.00","15905.00","153000","100","YES"
"100415.00","53791.00","YES","Owner Occupier","1.00","15.00","1.00","1844.00","1.00","11855.00","173900","100","YES"
"100416.00","59463.00","NO","Owner Occupier","2.00","9.00","2.00","1298.00","1.00","4765.00","222000","100","NO"
"100417.00","44159.00","YES","Public Housing","6.00","4.00","1.00","1110.00","0.00","7735.00","210000","100","YES"
"100418.00","59508.00","YES","Owner Occupier","2.00","19.00","1.00","3671.00","1.00","10595.00","135000","130","NO"
"100419.00","51219.00","YES","Private Renting","14.00","15.00","2.00","1292.00","1.00","7005.00","165000","111","YES"
"100421.00","56486.00","YES","Owner Occupier","5.00","11.00","1.00","696.00","1.00","4240.00","110000","100","NO"
"100422.00","47623.00","NO","Private Renting","23.00","7.00","1.00","784.00","1.00","8630.00","290000","100","NO"
"100423.00","49007.00","NO","Living with parents/guardian","14.00","18.00","1.00","13360.00","0.00","24375.00","200000","100","NO"
"100424.00","43895.00","YES","Owner Occupier","7.00","18.00","1.00","446.00","1.00","9085.00","400000","110","NO"
"100425.00","55497.00","YES","Owner Occupier","7.00","3.00","1.00","637.00","1.00","8980.00","229500","100","YES"
"100430.00","45066.00","YES","Private Renting","16.00","15.00","1.00","860.00","1.00","6605.00","255000","100","YES"
"100432.00","44202.00","NO","Owner Occupier","1.00","23.00","2.00","2611.00","0.00","12915.00","162000","101","NO"
"100436.00","45518.00","YES","Private Renting","17.00","22.00","1.00","8231.00","1.00","16485.00","260000","130","NO"
"100439.00","43890.00","YES","Owner Occupier","19.00","18.00","2.00","505.00","1.00","6960.00","348500","100","NO"
"100440.00","44772.00","YES","Owner Occupier","9.00","6.00","1.00","469.00","0.00","7950.00","1060000","101","NO"
"100442.00","44271.00","YES","Private Renting","17.00","20.00","1.00","284.00","1.00","6185.00","200000","130","YES"
"100443.00","43874.00","NO","Owner Occupier","18.00","0.00","2.00","1320.00","1.00","10295.00","258000","100","YES"
"100444.00","43888.00","YES","Owner Occupier","16.00","21.00","1.00","3820.00","1.00","7240.00","220000","100","YES"
"100445.00","44194.00","YES","Private Renting","16.00","2.00","2.00","1007.00","1.00","8550.00","565000","120","YES"
"100448.00","53201.00","NO","Owner Occupier","18.00","29.00","1.00","17134.00","0.00","16275.00","197307","100","NO"
"100449.00","45238.00","YES","Owner Occupier","9.00","6.00","2.00","326.00","1.00","5515.00","160000","120","YES"
"100450.00","54673.00","YES","Owner Occupier","15.00","22.00","2.00","3086.00","1.00","11875.00","180000","100","NO"
"100451.00","46949.00","YES","Public Housing","0.00","2.00","2.00","1634.00","1.00","9720.00","300000","110","NO"
"100452.00","57689.00","NO","Owner Occupier","25.00","19.00","1.00","331.00","1.00","9915.00","315000","100","YES"
"100453.00","45869.00","YES","Private Renting","21.00","8.00","2.00","71.00","1.00","9240.00","325000","100","YES"
"100454.00","43799.00","YES","Private Renting","11.00","4.00","1.00","145.00","0.00","8810.00","220000","100","NO"
"100456.00","47026.00","NO","Private Renting","23.00","18.00","2.00","1368.00","0.00","6955.00","145000","130","NO"
"100458.00","46645.00","NO","Owner Occupier","19.00","4.00","1.00","884.00","0.00","6045.00","475000","110","NO"
"100465.00","44048.00","NO","Owner Occupier","0.00","6.00","1.00","222.00","0.00","10155.00","299000","101","NO"
"100468.00","45970.00","NO","Owner Occupier","11.00","7.00","1.00","579.00","0.00","9280.00","132000","100","NO"
"100470.00","45949.00","NO","Private Renting","17.00","7.00","1.00","3865.00","0.00","13010.00","149000","100","YES"
"100472.00","45659.00","YES","Public Housing","12.00","17.00","1.00","9466.00","1.00","17050.00","340000","100","NO"
"100473.00","43750.00","NO","Private Renting","13.00","6.00","1.00","988.00","1.00","7060.00","443000","100","NO"
"100476.00","44318.00","YES","Owner Occupier","8.00","19.00","1.00","2096.00","0.00","9240.00","150876","100","NO"
"100477.00","43761.00","NO","Owner Occupier","10.00","6.00","1.00","1418.00","0.00","11245.00","192500","100","NO"
"100485.00","45673.00","YES","Owner Occupier","22.00","16.00","1.00","359.00","0.00","6670.00","185000","100","NO"
"100486.00","54938.00","NO","Owner Occupier","5.00","15.00","2.00","268.00","0.00","8225.00","235000","130","NO"
"100487.00","49409.00","YES","Owner Occupier","11.00","12.00","2.00","107.00","1.00","9745.00","190000","130","NO"
"100488.00","54021.00","YES","Owner Occupier","2.00","4.00","1.00","101.00","1.00","12230.00","355000","100","YES"
"100489.00","48084.00","YES","Owner Occupier","10.00","3.00","2.00","555.00","1.00","10500.00","265000","100","YES"
"100490.00","50799.00","YES","Owner Occupier","22.00","19.00","2.00","1919.00","0.00","6020.00","185000","111","YES"
"100491.00","46785.00","YES","Private Renting","14.00","4.00","1.00","1227.00","1.00","6510.00","300000","100","NO"
"100492.00","53365.00","YES","Owner Occupier","21.00","26.00","1.00","3819.00","0.00","10250.00","230000","100","YES"
"100493.00","50515.00","NO","Owner Occupier","3.00","5.00","1.00","1642.00","1.00","12725.00","106300","130","YES"
"100494.00","55421.00","NO","Owner Occupier","11.00","3.00","2.00","1169.00","0.00","10715.00","245000","130","YES"
"100495.00","47734.00","YES","Sheltered","23.00","6.00","2.00","2631.00","1.00","14355.00","150000","100","NO"
"100496.00","44449.00","YES","Private Renting","9.00","16.00","1.00","4168.00","0.00","8450.00","258000","100","YES"
"100497.00","55777.00","YES","Private Renting","1.00","11.00","2.00","453.00","0.00","6215.00","285000","100","YES"
"100499.00","47422.00","YES","Owner Occupier","11.00","12.00","2.00","2010.00","1.00","12315.00","330000","100","YES"
"100500.00","50302.00","YES","Owner Occupier","20.00","9.00","2.00","455.00","0.00","10490.00","535000","100","YES"
"100503.00","44095.00","YES","Private Renting","13.00","4.00","1.00","368.00","0.00","8730.00","285000","100","NO"
"100505.00","45153.00","NO","Owner Occupier","2.00","13.00","2.00","804.00","1.00","8900.00","146000","130","YES"
"100506.00","43820.00","NO","Owner Occupier","3.00","3.00","2.00","230.00","0.00","12095.00","395000","110","NO"
"100507.00","43633.00","YES","Public Housing","14.00","16.00","1.00","6100.00","0.00","7330.00","650000","110","NO"
"100510.00","43976.00","NO","Public Housing","18.00","12.00","2.00","745.00","0.00","5145.00","350000","100","NO"
"100511.00","43835.00","YES","Owner Occupier","3.00","1.00","2.00","1501.00","1.00","12220.00","144000","100","NO"
"100512.00","45621.00","YES","Owner Occupier","1.00","19.00","1.00","1878.00","0.00","9260.00","195000","100","YES"
"100516.00","45849.00","NO","Living with parents/guardian","13.00","9.00","2.00","364.00","1.00","12210.00","195000","100","YES"
"100519.00","43408.00","YES","Owner Occupier","10.00","4.00","2.00","1106.00","0.00","10605.00","182500","130","NO"
"100521.00","44394.00","NO","Owner Occupier","20.00","17.00","1.00","2041.00","0.00","10100.00","287500","100","NO"
"100522.00","43982.00","YES","Owner Occupier","13.00","11.00","2.00","1055.00","0.00","9405.00","500000","110","NO"
"100523.00","44936.00","YES","Owner Occupier","1.00","22.00","1.00","4502.00","0.00","11015.00","360000","110","NO"
"100524.00","57004.00","YES","Private Renting","14.00","31.00","1.00","3561.00","0.00","6720.00","121000","100","NO"
"100526.00","52545.00","YES","Owner Occupier","25.00","14.00","1.00","1125.00","0.00","8060.00","147000","100","YES"
"100527.00","48061.00","YES","Private Renting","3.00","5.00","2.00","296.00","0.00","9680.00","190500","100","YES"
"100529.00","50075.00","YES","Private Renting","4.00","18.00","2.00","3768.00","0.00","6095.00","150000","110","NO"
"100530.00","43303.00","YES","Owner Occupier","2.00","7.00","2.00","866.00","1.00","10220.00","75000","100","NO"
"100531.00","45159.00","NO","Owner Occupier","6.00","12.00","1.00","2310.00","0.00","12065.00","190000","100","NO"
"100532.00","48931.00","YES","Owner Occupier","11.00","19.00","2.00","652.00","0.00","7795.00","190000","100","NO"
"100533.00","44363.00","YES","Owner Occupier","5.00","19.00","1.00","1609.00","1.00","7325.00","250000","110","YES"
"100534.00","44413.00","YES","Private Renting","13.00","16.00","2.00","885.00","0.00","4665.00","165000","100","YES"
"100535.00","49988.00","YES","Private Renting","14.00","21.00","2.00","2660.00","0.00","9645.00","210000","100","NO"
"100536.00","45450.00","YES","Owner Occupier","15.00","24.00","1.00","4217.00","0.00","8040.00","270000","100","YES"
"100537.00","45081.00","NO","Owner Occupier","14.00","15.00","2.00","713.00","1.00","8430.00","140000","110","NO"
"100539.00","47470.00","NO","Private Renting","9.00","12.00","1.00","2111.00","0.00","9255.00","104000","130","NO"
"100548.00","44272.00","YES","Owner Occupier","12.00","20.00","1.00","645.00","1.00","10095.00","170000","100","YES"
"100549.00","44460.00","YES","Owner Occupier","4.00","16.00","1.00","3467.00","1.00","9290.00","192000","100","YES"
"100551.00","43707.00","YES","Owner Occupier","8.00","9.00","1.00","1131.00","0.00","9365.00","125000","100","NO"
"100558.00","45419.00","YES","Private Renting","1.00","2.00","2.00","231.00","0.00","9200.00","131500","100","NO"
"100561.00","45721.00","YES","Living with parents/guardian","3.00","14.00","1.00","294.00","1.00","7925.00","245000","100","NO"
"100562.00","45103.00","NO","Owner Occupier","21.00","14.00","1.00","2327.00","1.00","5575.00","185000","100","YES"
"100563.00","55112.00","YES","Living with parents/guardian","10.00","14.00","2.00","4113.00","1.00","14510.00","265000","100","YES"
"100565.00","46823.00","YES","Private Renting","22.00","2.00","1.00","94.00","1.00","6575.00","281915","100","NO"
"100566.00","56590.00","YES","Owner Occupier","27.00","8.00","2.00","332.00","0.00","6605.00","265000","100","YES"
"100567.00","57683.00","YES","Owner Occupier","14.00","24.00","1.00","3275.00","1.00","10185.00","281915","100","YES"
"100568.00","55752.00","YES","Owner Occupier","5.00","11.00","2.00","2048.00","1.00","6685.00","565000","100","YES"
"100569.00","46168.00","YES","Private Renting","0.00","6.00","1.00","3762.00","1.00","12520.00","385000","120","YES"
"100570.00","55565.00","NO","Owner Occupier","23.00","0.00","2.00","2219.00","0.00","11885.00","440000","110","YES"
"100571.00","50076.00","YES","Private Renting","0.00","17.00","1.00","460.00","1.00","9385.00","675000","130","NO"
"100578.00","45750.00","YES","Public Housing","13.00","13.00","1.00","1930.00","1.00","11355.00","209000","101","NO"
"100579.00","45904.00","YES","Owner Occupier","22.00","7.00","1.00","60.00","0.00","4850.00","110000","110","NO"
"100580.00","44477.00","NO","Private Renting","19.00","15.00","1.00","351.00","0.00","8290.00","220000","130","NO"
"100581.00","45841.00","NO","Public Housing","11.00","12.00","2.00","4159.00","0.00","13350.00","350000","100","NO"
"100585.00","44010.00","YES","Private Renting","4.00","7.00","2.00","542.00","1.00","10180.00","235000","100","NO"
"100586.00","44378.00","YES","Private Renting","9.00","18.00","2.00","306.00","0.00","7445.00","582000","120","YES"
"100587.00","45246.00","NO","Living with parents/guardian","6.00","5.00","1.00","737.00","1.00","5300.00","175000","130","YES"
"100588.00","45266.00","NO","Public Housing","3.00","5.00","1.00","6805.00","0.00","21360.00","550000","100","YES"
"100589.00","43362.00","YES","Owner Occupier","15.00","4.00","2.00","434.00","1.00","4320.00","650000","391","YES"
"100590.00","59393.00","NO","Owner Occupier","34.00","18.00","2.00","2746.00","0.00","6845.00","400000","100","YES"
"100591.00","56523.00","YES","Public Housing","20.00","10.00","1.00","2066.00","0.00","9340.00","157500","131","YES"
"100592.00","55390.00","NO","Living with parents/guardian","23.00","3.00","1.00","812.00","0.00","7180.00","231000","130","NO"
"100593.00","50445.00","YES","Public Housing","10.00","8.00","1.00","237.00","1.00","9310.00","250000","120","YES"
"100594.00","49529.00","YES","Owner Occupier","9.00","10.00","1.00","342.00","0.00","7995.00","345000","110","YES"
"100595.00","47161.00","YES","Public Housing","0.00","13.00","2.00","1096.00","1.00","4855.00","365000","110","NO"
"100596.00","47019.00","NO","Private Renting","11.00","21.00","1.00","1138.00","1.00","8645.00","345000","110","NO"
"100597.00","53731.00","NO","Public Housing","26.00","16.00","2.00","13160.00","1.00","17985.00","365000","110","NO"
"100598.00","43514.00","YES","Private Renting","17.00","0.00","2.00","274.00","0.00","3425.00","250000","130","YES"
"100599.00","52495.00","NO","Owner Occupier","18.00","16.00","2.00","2527.00","1.00","10375.00","195000","100","YES"
"100600.00","45537.00","YES","Private Renting","22.00","21.00","2.00","2698.00","1.00","8885.00","1000000","110","YES"
"100601.00","55215.00","YES","Private Renting","1.00","6.00","2.00","1930.00","0.00","9820.00","905000","110","NO"
"100602.00","44892.00","YES","Private Renting","12.00","2.00","2.00","3337.00","0.00","11195.00","175000","110","NO"
"100603.00","52173.00","YES","Public Housing","4.00","22.00","2.00","689.00","0.00","9720.00","140000","100","YES"
"100604.00","49407.00","NO","Owner Occupier","23.00","13.00","2.00","1793.00","0.00","8950.00","180000","100","YES"
"100605.00","49415.00","YES","Owner Occupier","17.00","11.00","1.00","150.00","0.00","6485.00","180000","101","YES"
"100614.00","43622.00","YES","Owner Occupier","8.00","18.00","1.00","3828.00","1.00","5625.00","180000","100","YES"
"100615.00","44298.00","NO","Owner Occupier","16.00","19.00","2.00","763.00","0.00","8410.00","170000","120","YES"
"100618.00","45463.00","YES","Owner Occupier","2.00","23.00","2.00","478.00","1.00","13350.00","215000","100","NO"
"100620.00","44705.00","YES","Owner Occupier","0.00","8.00","1.00","230.00","0.00","5720.00","275000","111","NO"
"100621.00","50621.00","NO","Owner Occupier","24.00","22.00","2.00","1047.00","0.00","9940.00","350000","120","NO"
"100622.00","49600.00","YES","Private Renting","5.00","9.00","2.00","3366.00","1.00","9065.00","330000","100","NO"
"100623.00","48599.00","YES","Owner Occupier","16.00","25.00","1.00","1363.00","1.00","9385.00","447000","100","YES"
"100624.00","43677.00","YES","Sheltered","16.00","9.00","1.00","740.00","0.00","10915.00","190000","100","NO"
"100625.00","45993.00","NO","Public Housing","6.00","7.00","2.00","311.00","0.00","8670.00","199000","100","NO"
"100626.00","52887.00","YES","Public Housing","10.00","9.00","2.00","1339.00","0.00","8560.00","185000","130","YES"
"100627.00","44671.00","YES","Private Renting","16.00","9.00","2.00","3971.00","1.00","12050.00","270000","130","YES"
"100628.00","50199.00","YES","Private Renting","5.00","12.00","1.00","1230.00","0.00","10070.00","199000","100","NO"
"100629.00","54671.00","YES","Owner Occupier","25.00","28.00","2.00","3612.00","0.00","8610.00","250000","120","YES"
"100630.00","53180.00","YES","Owner Occupier","9.00","31.00","2.00","11860.00","0.00","16335.00","335000","100","YES"
"100633.00","43120.00","YES","Public Housing","4.00","10.00","1.00","801.00","1.00","6220.00","215000","100","YES"
"100635.00","44039.00","YES","Owner Occupier","17.00","6.00","2.00","109.00","1.00","6590.00","235000","120","YES"
"100640.00","43293.00","NO","Private Renting","16.00","7.00","1.00","2207.00","1.00","8450.00","260000","100","YES"
"100641.00","44534.00","NO","Owner Occupier","9.00","13.00","2.00","805.00","0.00","8775.00","200000","130","YES"
"100642.00","43739.00","NO","Owner Occupier","3.00","7.00","1.00","2247.00","1.00","10275.00","285000","100","YES"
"100645.00","43648.00","NO","Owner Occupier","14.00","12.00","1.00","2496.00","1.00","6095.00","219000","100","NO"
"100650.00","45283.00","NO","Public Housing","15.00","3.00","1.00","1460.00","1.00","13075.00","167000","100","YES"
"100657.00","59276.00","YES","Public Housing","20.00","21.00","2.00","8000.00","1.00","8265.00","285000","100","NO"
"100660.00","49850.00","YES","Living with parents/guardian","5.00","1.00","2.00","1265.00","1.00","4535.00","455000","100","NO"
"100661.00","47568.00","YES","Private Renting","5.00","11.00","2.00","2391.00","1.00","12965.00","285000","100","YES"
"100662.00","50833.00","YES","Public Housing","21.00","16.00","1.00","760.00","1.00","11585.00","270000","100","YES"
"100664.00","50631.00","YES","Private Renting","26.00","21.00","2.00","2132.00","0.00","3110.00","299500","100","NO"
"100665.00","57520.00","YES","Private Renting","25.00","19.00","1.00","890.00","0.00","11950.00","430000","121","NO"
"100666.00","59179.00","YES","Living with parents/guardian","29.00","5.00","1.00","5780.00","1.00","11885.00","220000","111","NO"
"100668.00","59692.00","NO","Owner Occupier","11.00","3.00","1.00","469.00","0.00","10100.00","190000","100","NO"
"100670.00","56470.00","YES","Private Renting","31.00","15.00","2.00","390.00","0.00","7055.00","240000","110","YES"
"100671.00","51859.00","YES","Private Renting","19.00","2.00","2.00","369.00","1.00","5290.00","360000","110","YES"
"100672.00","54777.00","YES","Public Housing","26.00","17.00","2.00","2814.00","1.00","10895.00","260000","100","NO"
"100676.00","44597.00","YES","Owner Occupier","10.00","12.00","2.00","468.00","0.00","8630.00","135000","100","NO"
"100677.00","44728.00","YES","Private Renting","2.00","7.00","2.00","847.00","0.00","11580.00","237500","110","NO"
"100679.00","45584.00","NO","Private Renting","2.00","19.00","1.00","1256.00","0.00","4150.00","474000","110","NO"
"100681.00","44582.00","NO","Owner Occupier","1.00","13.00","1.00","1581.00","1.00","10410.00","238000","101","NO"
"100682.00","44270.00","YES","Owner Occupier","3.00","22.00","2.00","962.00","1.00","7845.00","200000","111","NO"
"100683.00","45549.00","NO","Owner Occupier","2.00","21.00","1.00","5791.00","0.00","13325.00","155500","100","NO"
"100684.00","45712.00","YES","Owner Occupier","14.00","15.00","2.00","2216.00","0.00","8910.00","215000","100","NO"
"100688.00","45654.00","YES","Public Housing","6.00","18.00","2.00","5471.00","0.00","6915.00","282000","130","YES"
"100691.00","44898.00","NO","Owner Occupier","4.00","22.00","1.00","527.00","0.00","10270.00","288500","100","NO"
"100693.00","48414.00","NO","Public Housing","9.00","0.00","2.00","232.00","0.00","9240.00","250000","110","YES"
"100694.00","53307.00","YES","Owner Occupier","8.00","27.00","2.00","1984.00","1.00","9475.00","130000","100","NO"
"100695.00","58878.00","NO","Owner Occupier","18.00","9.00","1.00","1680.00","0.00","6165.00","260000","100","YES"
"100696.00","43977.00","YES","Public Housing","14.00","12.00","1.00","4763.00","1.00","11145.00","330000","120","NO"
"100697.00","51561.00","NO","Public Housing","17.00","5.00","2.00","3010.00","0.00","16630.00","359850","100","NO"
"100698.00","58785.00","NO","Private Renting","31.00","16.00","2.00","1111.00","0.00","7415.00","275000","130","NO"
"100700.00","55140.00","NO","Owner Occupier","20.00","13.00","2.00","5095.00","0.00","8540.00","545000","100","NO"
"100701.00","46501.00","YES","Private Renting","5.00","5.00","2.00","327.00","1.00","9070.00","325000","100","NO"
"100702.00","59201.00","YES","Owner Occupier","12.00","25.00","1.00","12164.00","0.00","14795.00","545000","100","YES"
"100703.00","45368.00","NO","Owner Occupier","4.00","2.00","2.00","711.00","1.00","10340.00","325000","100","NO"
"100704.00","43651.00","YES","Private Renting","4.00","11.00","2.00","527.00","1.00","6090.00","265000","100","NO"
"100705.00","49485.00","YES","Private Renting","24.00","10.00","1.00","563.00","1.00","4455.00","250000","100","YES"
"100706.00","46965.00","NO","Public Housing","21.00","0.00","1.00","83.00","1.00","4070.00","498500","100","YES"
"100707.00","46119.00","YES","Private Renting","1.00","6.00","1.00","104.00","0.00","11470.00","145000","100","YES"
"100715.00","44150.00","YES","Owner Occupier","9.00","4.00","2.00","1038.00","1.00","9010.00","280000","110","YES"
"100716.00","45217.00","NO","Owner Occupier","17.00","8.00","2.00","445.00","1.00","11455.00","315000","120","NO"
"100718.00","45240.00","NO","Private Renting","12.00","5.00","2.00","1320.00","1.00","5840.00","368000","101","NO"
